Frog_ID,Health_Status,Diet_Type,Last_Checkup,Notes,Extra_Column
Frog_1,Healthy,Herbivore,2024-01-01,,
Frog_2,Healthy,Carnivore,2024-01-02,,
Frog_3,Healthy,Herbivore,2024-01-03,,
Frog_4,Sick,Carnivore,2024-01-04,,
Frog_5,Sick,Herbivore,2024-01-05,,
Frog_6,,Herbivore,2024-01-06,,
Frog_7,Sick,Carnivore,2024-01-07,,
Frog_8,Sick,Herbivore,2024-01-08,,
Frog_9,Sick,Carnivore,2024-01-09,,
Frog_10,Sick,Herbivore,2024-01-10,,
Frog_11,Sick,Herbivore,2024-01-11,,Error
Frog_12,Healthy,Carnivore,2024-01-12,,
Frog_13,Healthy,Carnivore,2024-01-13,,
Frog_14,Healthy,Carnivore,2024-01-14,,
Frog_15,Sick,Herbivore,2024-01-15,,
Frog_16,Sick,Carnivore,2024-01-16,,
Frog_17,Healthy,Herbivore,2024-01-17,,
Frog_18,Sick,Herbivore,2024-01-18,,
Frog_19,Healthy,Carnivore,2024-01-19,,
Frog_20,Healthy,Carnivore,2024-01-20,,
Frog_21,Healthy,Herbivore,2024-01-21,,
Frog_22,Sick,Herbivore,2024-01-22,,
Frog_23,Sick,Carnivore,2024-01-23,,
Frog_24,Healthy,Carnivore,2024-01-24,,
Frog_25,Healthy,Carnivore,2024-01-25,,
Frog_26,Healthy,Carnivore,2024-01-26,,
Frog_27,Healthy,Carnivore,2024-01-27,,
Frog_28,Sick,Herbivore,2024-01-28,,
Frog_29,Sick,Herbivore,2024-01-29,,
Frog_30,Healthy,Herbivore,2024-01-30,,
Frog_31,Healthy,Herbivore,2024-01-31,,
Frog_32,Sick,Carnivore,2024-02-01,,
Frog_33,Sick,Carnivore,2024-02-02,,
Frog_34,Healthy,Carnivore,2024-02-03,,
Frog_35,Healthy,Herbivore,2024-02-04,,
Frog_36,Healthy,Herbivore,2024-02-05,,
Frog_37,Sick,Carnivore,2024-02-06,,
Frog_38,Sick,Carnivore,2024-02-07,,
Frog_39,Sick,Herbivore,2024-02-08,,
Frog_40,Healthy,Herbivore,2024-02-09,,
Frog_41,Healthy,Carnivore,2024-02-10,,
Frog_42,Sick,Carnivore,2024-02-11,,
Frog_43,Sick,Herbivore,2024-02-12,,
Frog_44,Healthy,Carnivore,2024-02-13,,
Frog_45,Sick,Carnivore,2024-02-14,,
Frog_46,Sick,Carnivore,2024-02-15,,
Frog_47,Healthy,Herbivore,2024-02-16,,
Frog_48,Sick,Herbivore,2024-02-17,,
Frog_49,Healthy,Herbivore,2024-02-18,,
Frog_50,Healthy,Herbivore,2024-02-19,,
Frog_51,Healthy,Herbivore,2024-02-20,,
Frog_52,Healthy,Herbivore,2024-02-21,,
Frog_53,Healthy,Herbivore,2024-02-22,,
Frog_54,Healthy,Carnivore,2024-02-23,,
Frog_55,Healthy,Carnivore,2024-02-24,,
Frog_56,Sick,Carnivore,2024-02-25,,
Frog_57,Healthy,Carnivore,2024-02-26,,
Frog_58,Healthy,Carnivore,2024-02-27,,
Frog_59,Sick,Carnivore,2024-02-28,,
Frog_60,Sick,Carnivore,2024-02-29,,
Frog_61,Sick,Herbivore,2024-03-01,,
Frog_62,Healthy,Herbivore,2024-03-02,,
Frog_63,Sick,Carnivore,2024-03-03,,
Frog_64,Healthy,Carnivore,2024-03-04,,
Frog_65,Healthy,Herbivore,2024-03-05,,
Frog_66,Healthy,Carnivore,2024-03-06,,
Frog_67,Healthy,Carnivore,2024-03-07,,
Frog_68,Sick,Herbivore,2024-03-08,,
Frog_69,Sick,Carnivore,2024-03-09,,
Frog_70,Healthy,Herbivore,2024-03-10,,
Frog_71,Healthy,Carnivore,2024-03-11,,
Frog_72,Healthy,Herbivore,2024-03-12,,
Frog_73,Sick,Herbivore,2024-03-13,,
Frog_74,Healthy,Herbivore,2024-03-14,,
Frog_75,Healthy,Carnivore,2024-03-15,,
Frog_76,Sick,Herbivore,2024-03-16,,
Frog_77,Sick,Carnivore,2024-03-17,,
Frog_78,Healthy,Carnivore,2024-03-18,,
Frog_79,Sick,Carnivore,2024-03-19,,
Frog_80,Sick,Carnivore,2024-03-20,,
Frog_81,Healthy,Herbivore,2024-03-21,,
Frog_82,Sick,Herbivore,2024-03-22,,
Frog_83,Healthy,Carnivore,2024-03-23,,
Frog_84,Sick,Carnivore,2024-03-24,,
Frog_85,Healthy,Herbivore,2024-03-25,,
Frog_86,Healthy,Carnivore,2024-03-26,,
Frog_87,Healthy,Herbivore,2024-03-27,,
Frog_88,Sick,Carnivore,2024-03-28,,
Frog_89,Healthy,Carnivore,2024-03-29,,
Frog_90,Sick,Herbivore,2024-03-30,,
Frog_91,Healthy,Carnivore,2024-03-31,,
Frog_92,Healthy,Herbivore,2024-04-01,,
Frog_93,Sick,Carnivore,2024-04-02,,
Frog_94,Healthy,Carnivore,2024-04-03,,
Frog_95,Healthy,Carnivore,2024-04-04,,
Frog_96,Sick,Herbivore,2024-04-05,,
Frog_97,Healthy,Carnivore,2024-04-06,,
Frog_98,Healthy,Carnivore,2024-04-07,,
Frog_99,Healthy,Carnivore,2024-04-08,,
Frog_100,Healthy,Carnivore,2024-04-09,,
Frog_101,Sick,Herbivore,2024-04-10,,
Frog_102,Sick,Herbivore,2024-04-11,,
Frog_103,Healthy,Carnivore,2024-04-12,,
Frog_104,Sick,Herbivore,2024-04-13,,
Frog_105,Healthy,Carnivore,2024-04-14,,
Frog_106,Sick,Carnivore,2024-04-15,,
Frog_107,Healthy,Carnivore,2024-04-16,,
Frog_108,Healthy,Herbivore,2024-04-17,,
Frog_109,Healthy,Herbivore,2024-04-18,,
Frog_110,Healthy,Herbivore,2024-04-19,,
Frog_111,Healthy,Herbivore,2024-04-20,,
Frog_112,Healthy,Herbivore,2024-04-21,,
Frog_113,Sick,Herbivore,2024-04-22,,
Frog_114,Healthy,Herbivore,2024-04-23,,
Frog_115,Sick,Herbivore,2024-04-24,,
Frog_116,Healthy,Herbivore,2024-04-25,,
Frog_117,Sick,Carnivore,2024-04-26,,
Frog_118,Sick,Herbivore,2024-04-27,,
Frog_119,Sick,Herbivore,2024-04-28,,
Frog_120,Healthy,Herbivore,2024-04-29,,
Frog_121,Healthy,Herbivore,2024-04-30,,
