Frog_ID,Species,Age,Weight,Length,Habitat,Conservation_Status,Last_Sighted,Breeding_Season,Population_Estimate
F001,Rana clamitans,2,49.87,6.47,Pond,Near Threatened,2023-03-26,Spring,516
F002,Bufo bufo,5,45.38,5.8,Wetland,Least Concern,2023-04-27,Summer,424
F003,Rana clamitans,7,189.43,5.9,Swamp,Vulnerable,2023-08-18,Spring,515
F004,Bufo bufo,9,150.51,11.72,Swamp,Near Threatened,2023-09-13,Fall,762
F005,Bufo bufo,3,103.19,7.45,Wetland,Vulnerable,2023-11-09,Summer,164
F006,Lithobates catesbeianus,4,53.21,9.21,Wetland,Near Threatened,2023-11-15,Spring,841
F007,Rana clamitans,1,58.33,10.57,Forest,Vulnerable,2023-02-18,Summer,387
F008,Lithobates catesbeianus,1,21.03,13.61,Wetland,Least Concern,2023-05-26,Spring,179
F009,Rana clamitans,7,92.54,12.27,Forest,Vulnerable,2023-01-10,Fall,183
F010,Rana clamitans,1,69.24,7.7,Forest,Least Concern,2023-07-10,Fall,883
F011,Rana clamitans,7,142.31,6.31,Swamp,Vulnerable,2023-03-21,Summer,919
F012,Lithobates catesbeianus,4,81.77,5.55,Wetland,Least Concern,2023-08-19,Summer,605
F013,Bufo bufo,4,44.12,8.02,Swamp,Least Concern,2023-07-26,Spring,496
F014,Lithobates catesbeianus,9,14.69,7.62,Wetland,Vulnerable,2023-08-17,Summer,785
F015,Lithobates catesbeianus,9,22.78,9.56,Swamp,Near Threatened,2023-11-24,Fall,110
F016,Rana clamitans,9,139.08,11.83,Forest,Least Concern,2023-11-15,Fall,600
F017,Bufo bufo,3,96.2,11.96,Forest,Vulnerable,2023-10-07,Fall,717
F018,Bufo bufo,4,111.95,7.84,Swamp,Least Concern,2023-12-14,Summer,948
F019,Bufo bufo,3,180.37,8.8,Forest,Least Concern,2023-01-08,Spring,170
F020,Bufo bufo,1,198.16,6.81,Pond,Vulnerable,2023-10-06,Fall,121
F021,Rana clamitans,9,51.21,12.89,Swamp,Least Concern,2023-12-21,Fall,834
F022,Bufo bufo,9,135.98,5.57,Swamp,Near Threatened,2023-06-08,Summer,807
F023,Rana clamitans,4,60.03,11.97,Wetland,Vulnerable,2023-09-04,Summer,436
F024,Rana clamitans,9,13.92,12.79,Forest,Least Concern,2023-03-22,Summer,420
F025,Bufo bufo,3,154.09,12.77,Pond,Vulnerable,2023-06-05,Summer,229
F026,Lithobates catesbeianus,9,70.8,7.59,Wetland,Vulnerable,2023-02-17,Spring,918
F027,Rana clamitans,5,82.86,8.74,Swamp,Near Threatened,2023-04-25,Summer,964
F028,Lithobates catesbeianus,4,121.78,10.88,Pond,Vulnerable,2023-01-12,Spring,463
F029,Rana clamitans,1,167.9,7.73,Pond,Vulnerable,2023-12-01,Spring,566
F030,Bufo bufo,5,129.51,8.71,Forest,Vulnerable,2023-10-14,Fall,438
F031,Bufo bufo,4,175.8,6.97,Swamp,Vulnerable,2023-04-01,Fall,797
F032,Lithobates catesbeianus,7,61.97,9.6,Wetland,Vulnerable,2023-10-18,Summer,506
F033,Rana clamitans,9,161.63,5.45,Pond,Least Concern,2023-02-24,Fall,883
F034,Bufo bufo,1,45.27,13.0,Swamp,Vulnerable,2023-12-04,Spring,640
F035,Bufo bufo,9,191.03,5.77,Forest,Least Concern,2023-06-13,Summer,427
F036,Bufo bufo,6,140.62,10.19,Swamp,Least Concern,2023-03-13,Summer,383
F037,Rana clamitans,1,50.95,8.07,Forest,Near Threatened,2023-11-12,Summer,316
F038,Lithobates catesbeianus,7,190.0,10.78,Swamp,Near Threatened,2023-04-23,Summer,413
F039,Rana clamitans,6,148.86,14.59,Wetland,Vulnerable,2023-03-10,Fall,926
F040,Lithobates catesbeianus,4,58.25,11.46,Swamp,Near Threatened,2023-01-14,Summer,316
F041,Lithobates catesbeianus,2,50.53,5.35,Wetland,Least Concern,2023-04-12,Spring,369
F042,Rana clamitans,9,108.46,9.3,Forest,Vulnerable,2023-10-03,Summer,178
F043,Lithobates catesbeianus,1,14.88,10.1,Pond,Near Threatened,2023-12-30,Fall,888
F044,Rana clamitans,5,49.42,10.36,Pond,Least Concern,2023-09-22,Spring,683
F045,Rana clamitans,7,90.69,11.81,Wetland,Near Threatened,2023-12-19,Fall,795
F046,Rana clamitans,6,81.09,7.78,Swamp,Vulnerable,2023-07-29,Fall,400
F047,Bufo bufo,8,98.08,6.29,Swamp,Near Threatened,2023-07-17,Fall,335
F048,Bufo bufo,9,62.75,8.93,Swamp,Vulnerable,2023-04-11,Fall,345
F049,Lithobates catesbeianus,9,121.49,14.56,Pond,Vulnerable,2023-09-11,Summer,191
F050,Rana clamitans,3,174.13,6.87,Forest,Near Threatened,2023-06-07,Fall,144
F051,Rana clamitans,9,32.33,14.04,Forest,Vulnerable,2023-08-19,Summer,883
F052,Bufo bufo,7,108.3,10.44,Forest,Vulnerable,2023-05-31,Summer,699
F053,Rana clamitans,7,35.09,9.57,Pond,Vulnerable,2023-01-31,Fall,689
F054,Bufo bufo,2,146.2,13.82,Forest,Vulnerable,2023-09-13,Spring,610
F055,Lithobates catesbeianus,7,85.25,9.59,Wetland,Near Threatened,2023-01-20,Fall,513
