Frog_ID,Sex,Age,Weight,Location,Health_Status,Last_Checkup,Notes
Frog_1,Female,5,0.8991614019067502,Pond_C,Healthy,2024-05-01,New arrival
Frog_123,Female,5,1.0428614199527035,Pond_B,Sick,2024-05-02,New arrival
Frog_124,Female,5,2.573504456147266,Pond_A,Healthy,2024-05-03,New arrival
Frog_125,Female,3,,Pond_B,Sick,2024-05-04,New arrival
Frog_126,Female,1,2.1392143747163397,Pond_C,Sick,2024-05-05,New arrival
Frog_127,Female,5,2.765377718846856,Pond_C,Sick,2024-05-06,New arrival
Frog_128,Female,9,3.606776728832144,Pond_B,Healthy,2024-05-07,New arrival
Frog_129,Male,1,0.6769046292849452,Pond_C,Sick,2024-05-08,New arrival
Frog_130,Male,3,4.097346795090692,Pond_A,Sick,2024-05-09,New arrival
Frog_131,Female,4,3.3255517527090848,Pond_A,Sick,2024-05-10,New arrival
Frog_132,Female,1,0.8679156437699236,Pond_B,Healthy,2024-05-11,New arrival
Frog_133,Male,1,4.431103808480497,Pond_B,Healthy,2024-05-12,New arrival
Frog_134,Female,8,4.643925802393159,Pond_B,Sick,2024-05-13,New arrival
Frog_135,Male,2,0.7748508193468868,Pond_C,Healthy,2024-05-14,New arrival
Frog_136,Male,8,1.7459494166624168,Pond_A,Healthy,2024-05-15,New arrival
Frog_137,Male,7,4.127905759068776,Pond_A,Healthy,2024-05-16,New arrival
Frog_138,Male,2,3.867168606726463,Pond_C,Healthy,2024-05-17,New arrival
Frog_139,Male,6,1.3303445871036979,Pond_A,Healthy,2024-05-18,New arrival
Frog_140,Female,6,1.4420719550151964,Pond_B,Healthy,2024-05-19,New arrival
Frog_141,Male,3,2.167124462561219,Pond_B,Healthy,2024-05-20,New arrival
Frog_142,Female,2,2.680353433359596,Pond_B,Healthy,2024-05-21,New arrival
Frog_143,Female,1,3.282146471886332,Pond_A,Healthy,2024-05-22,New arrival
Frog_144,Male,6,2.160111378063976,Pond_B,Healthy,2024-05-23,New arrival
Frog_145,Male,5,2.5814062225991656,Pond_C,Sick,2024-05-24,New arrival
Frog_146,Female,9,3.8636192216019043,Pond_C,Sick,2024-05-25,New arrival
Frog_147,Male,1,0.6650744130076905,Pond_A,Healthy,2024-05-26,New arrival
Frog_148,Male,7,1.6359662495480933,Pond_C,Sick,2024-05-27,New arrival
Frog_149,Female,5,3.710073136480486,Pond_C,Sick,2024-05-28,New arrival
Frog_150,Female,5,4.528430769592397,Pond_A,Healthy,2024-05-29,New arrival
Frog_151,Male,2,2.8025484895204977,Pond_B,Healthy,2024-05-30,New arrival
Frog_152,Female,3,2.8945106836939205,Pond_B,Healthy,2024-05-31,New arrival
Frog_153,Male,7,0.9822740510289922,Pond_B,Sick,2024-06-01,New arrival
Frog_154,Male,6,2.513355650705546,Pond_A,Sick,2024-06-02,New arrival
Frog_155,Male,2,2.8967776990476044,Pond_C,Healthy,2024-06-03,New arrival
Frog_156,Female,6,1.5911172663562834,Pond_B,Healthy,2024-06-04,New arrival
Frog_157,Female,2,1.7115945392722143,Pond_B,Healthy,2024-06-05,New arrival
Frog_158,Female,2,2.197778733970802,Pond_A,Sick,2024-06-06,New arrival
